"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","home page headers exist test @junesprint","chromium","2026-06-26","skipped","2026-06-26","","homepage.spec.ts","",""
"","1603","@regression POST - create a user","chromium","2026-06-26","passed","2026-06-26","","api/users.api.indi.spec.ts","",""
"","1","login page title test","chromium","2026-06-26","skipped","2026-06-26","","loginpage.spec.ts","",""
"","1","create a user test","chromium","2026-06-26","skipped","2026-06-26","","api/users.api.spec.ts","",""
"","43075","@smoke user is able to login to app test","chromium","2026-06-26","broken","2026-06-26","","loginpagefix.spec.ts","",""
"","0","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-06-26","skipped","2026-06-26","","loginpagefix.spec.ts","",""
"","0","user is able to login to app test","chromium","2026-06-26","skipped","2026-06-26","","loginpage.spec.ts","",""
"","40287","@regression home page headers exist test","chromium","2026-06-26","broken","2026-06-26","","homepagefix.spec.ts","",""
"","358","@smoke GET -- get all users","chromium","2026-06-26","passed","2026-06-26","","api/users.api.schema.spec.ts","",""
"","43741","@smoke intercept and log requests","chromium","2026-06-26","broken","2026-06-26","","api/intercept.spec.ts","",""
"","43094","@smoke login page title test","chromium","2026-06-26","broken","2026-06-26","","loginpagefix.spec.ts","",""
"","2","mock search page with fake HTML","chromium","2026-06-26","skipped","2026-06-26","","api/intercept.spec.ts","",""
"","40206","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-26","broken","2026-06-26","","loginpagefix.spec.ts","",""
"","382","@regression POST API -- create a user","chromium","2026-06-26","passed","2026-06-26","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","1600","@smoke GET -- get a user","chromium","2026-06-26","passed","2026-06-26","","api/users.api.schema.spec.ts","",""
"","0","get user test","chromium","2026-06-26","skipped","2026-06-26","","api/users.api.spec.ts","",""
"","365","@regression GET API -- get all users","chromium","2026-06-26","passed","2026-06-26","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","1","@regression invalid login test with - - pw1234","chromium","2026-06-26","skipped","2026-06-26","","loginpagefix.spec.ts","",""
"","1016","@regression DELETE - delete a user","chromium","2026-06-26","passed","2026-06-26","","api/users.api.indi.spec.ts","",""
"","40200","@regression forgot pwd link exist test","chromium","2026-06-26","broken","2026-06-26","","loginpagefix.spec.ts","",""
"","362","@regression DELETE API -- Delete a user","chromium","2026-06-26","passed","2026-06-26","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","40258","@regression login to app using wrong credentials with Data driven test","chromium","2026-06-26","broken","2026-06-26","","loginpagefix.spec.ts","",""
"","950","@regression GET -- get location data","chromium","2026-06-26","passed","2026-06-26","","api/amadeus.oauth2.spec.ts","",""
"","1809","@regression PUT - update a user","chromium","2026-06-26","passed","2026-06-26","","api/users.api.indi.spec.ts","",""
"","366","@regression PUT API -- Update a user","chromium","2026-06-26","passed","2026-06-26","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","43392","@smoke home page title test","chromium","2026-06-26","broken","2026-06-26","","homepagefix.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-06-26","skipped","2026-06-26","","loginpage.spec.ts","",""
"","43050","@regression invalid login test with excel data -","chromium","2026-06-26","broken","2026-06-26","","loginpagefix.spec.ts","",""
"","43052","invalid login test with JSON data - wrong@open.com","chromium","2026-06-26","broken","2026-06-26","","loginpagefix.spec.ts","",""
"","40296","@regression invalid login test with excel data - abccc@gmail.com","chromium","2026-06-26","broken","2026-06-26","","loginpagefix.spec.ts","",""
"","40240","@smoke logout link exist test","chromium","2026-06-26","broken","2026-06-26","","homepagefix.spec.ts","",""
"","0","Delete a user test","chromium","2026-06-26","skipped","2026-06-26","","api/users.api.spec.ts","",""
"","0","Update a user test","chromium","2026-06-26","skipped","2026-06-26","","api/users.api.spec.ts","",""
"","300","@@regression mock search data api","chromium","2026-06-26","passed","2026-06-26","","api/intercept.spec.ts","",""
"","0","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-06-26","skipped","2026-06-26","","loginpagefix.spec.ts","",""
"","0","logout link exist test","chromium","2026-06-26","skipped","2026-06-26","","homepage.spec.ts","",""
